RunTime,ModelScore,ModelRow,ModelColumn,MatchTime,AlgoriTime,BitmapTime,Flag
2018-07-25 16:07:50:55,0.914,432.746,1275.74,10.031,102.980,275.602,True
2018-07-25 16:07:51:13,0.953,439.163,1284.573,14.594,110.652,268.553,True
2018-07-25 16:07:51:73,0.959,438.801,1283.019,12.940,103.120,288.466,True
2018-07-25 16:07:52:44,0.274,1060.858,1614.599,13.307,127.898,361.917,True
2018-07-25 16:07:53:16,0.964,431.053,1282.015,10.222,116.388,383.342,True
2018-07-25 16:07:53:83,0.973,433.609,1274.078,10.129,121.501,345.483,True
2018-07-25 16:07:54:52,0.968,441.927,1278.107,10.753,122.125,351.003,True
2018-07-25 16:07:55:19,0.961,430.621,1276.808,11.045,117.512,349.921,True
2018-07-25 16:07:55:84,0.953,433.729,1287.867,9.852,117.709,343.221,True
2018-07-25 16:07:56:52,0.969,439.628,1275.615,10.374,118.838,351.408,True
2018-07-25 16:07:57:19,0.972,431.897,1276.727,10.115,122.809,342.900,True
2018-07-25 16:07:57:84,0.965,432.904,1284.293,9.614,117.648,345.003,True
2018-07-25 16:07:58:52,0.959,427.33,1274.624,10.419,118.819,348.943,True
2018-07-25 16:07:59:22,0.958,439.792,1281.897,10.546,121.308,364.801,True
2018-07-25 16:07:59:92,0.969,435.727,1277.357,9.680,123.645,349.739,True
2018-07-25 16:07:00:60,0.95,439.043,1287.465,11.158,122.271,344.902,True
2018-07-25 16:07:01:28,0.975,446.256,1282.976,11.862,117.270,337.355,True
2018-07-25 16:07:01:93,0.962,430.668,1278.712,9.642,116.152,347.654,True
2018-07-25 16:07:02:60,0.955,437.653,1278.855,10.876,119.073,343.675,True
2018-07-25 16:07:03:26,0.968,438.099,1281.551,9.588,109.209,343.710,True
2018-07-25 16:07:03:95,0.958,436.899,1285.35,10.075,119.136,345.895,True
2018-07-25 16:07:04:62,0.965,437.157,1279.584,10.297,122.507,344.616,True
2018-07-25 16:07:05:30,0.968,431.034,1276.288,16.522,114.686,353.697,True
2018-07-25 16:07:05:97,0.97,435.017,1288.516,9.774,116.704,348.986,True
2018-07-25 16:07:06:64,0.965,428.272,1280.376,10.135,116.016,346.497,True
2018-07-25 16:07:07:30,0.969,436.34,1282.932,9.296,116.218,341.567,True
2018-07-25 16:07:07:96,0.936,439.232,1285.716,9.984,115.882,341.980,True
2018-07-25 16:07:08:63,0.916,427.396,1284.583,10.079,117.445,344.455,True
2018-07-25 16:07:09:29,0.942,440.838,1288.016,10.283,114.828,343.043,True
2018-07-25 16:07:09:96,0.915,432.822,1273.739,9.969,117.330,340.569,True
2018-07-25 16:07:10:62,0.972,431.423,1279.163,9.551,110.985,350.403,True
2018-07-25 16:07:11:30,0.959,433.031,1275.652,10.073,114.820,352.562,True
2018-07-25 16:07:11:96,0.913,429.035,1280.642,9.981,118.629,341.957,True
2018-07-25 16:07:12:63,0.92,425.014,1287.24,9.938,115.118,349.141,True
2018-07-25 16:07:13:29,0.897,430.286,1283.263,9.699,114.711,338.721,True
2018-07-25 16:07:13:94,0.913,435.095,1284.986,9.681,119.072,341.779,True
2018-07-25 16:07:14:62,0.918,437.221,1279.179,10.422,119.884,343.472,True
